Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
quần-jeans-slim-fit-nữ,Quần Jeans Slim Fit Nữ,"",bathangminh,,,"nữ, quần, quần jeans",true,Kích cỡ,S,Màu sắc,Xanh dương,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansSlimFitN_xam2.jpg?v=1637789537,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-jeans-slim-fit-nữ,,,,,,,,,S,,Xám,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansSlimFitN_xam.jpg?v=1637789537,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-slim-fit-nữ,,,,,,,,,M,,Xanh dương,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansSlimFitN_xanh2.jpg?v=1637789537,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-slim-fit-nữ,,,,,,,,,M,,Xám,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansSlimFitN_xanh.jpg?v=1637789537,4,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-slim-fit-nữ,,,,,,,,,L,,Xanh dương,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-slim-fit-nữ,,,,,,,,,L,,Xám,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-ống-rộng-nữ,Quần Jeans Ống Rộng Nữ,"",bathangminh,,,"nữ, quần, quần dài, quần jeans",true,Kích cỡ,S,Màu sắc,Đen,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeans_ngR_ngN_den1.jpg?v=1637789313,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-jeans-ống-rộng-nữ,,,,,,,,,S,,Xám,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeans_ngR_ngN_den2.jpg?v=1637789314,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-ống-rộng-nữ,,,,,,,,,S,,Xanh dương,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeans_ngR_ngN_den3.jpg?v=1637789314,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-ống-rộng-nữ,,,,,,,,,M,,Đen,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeans_ngR_ngN_xam.jpg?v=1637789315,4,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-ống-rộng-nữ,,,,,,,,,M,,Xám,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeans_ngR_ngN_xanh1.jpg?v=1637789315,5,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-ống-rộng-nữ,,,,,,,,,M,,Xanh dương,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeans_ngR_ngN_xanh2.jpg?v=1637789315,6,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-ống-rộng-nữ,,,,,,,,,L,,Đen,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-ống-rộng-nữ,,,,,,,,,L,,Xám,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-ống-rộng-nữ,,,,,,,,,L,,Xanh dương,,,"",0.0,shopify,0,deny,manual,0,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-regular-nam,Quần Jeans Regular Nam,"",bathangminh,,,"nam, quần, quần dài, quần jeans",true,Kích cỡ,S,Màu sắc,Đen,,,"",0.0,shopify,0,deny,manual,550000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansRegularNamden1.jpg?v=1637789081,1,,false,,,,,,,,,,,,,,,,,kg,,,active
quần-jeans-regular-nam,,,,,,,,,S,,Xanh dương,,,"",0.0,shopify,0,deny,manual,550000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansRegularNamden2.jpg?v=1637789081,2,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-regular-nam,,,,,,,,,S,,Xanh dương (đậm),,,"",0.0,shopify,0,deny,manual,550000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansRegularNamxanh2.jpg?v=1637789082,3,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-regular-nam,,,,,,,,,M,,Đen,,,"",0.0,shopify,0,deny,manual,550000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansRegularNamxanhd_m1.jpg?v=1637789082,4,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-regular-nam,,,,,,,,,M,,Xanh dương,,,"",0.0,shopify,0,deny,manual,550000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansRegularNamxanhd_m2.jpg?v=1637789082,5,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-regular-nam,,,,,,,,,M,,Xanh dương (đậm),,,"",0.0,shopify,0,deny,manual,550000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansRegularNamxanh.jpg?v=1637789082,6,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-regular-nam,,,,,,,,,L,,Đen,,,"",0.0,shopify,0,deny,manual,550000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-regular-nam,,,,,,,,,L,,Xanh dương,,,"",0.0,shopify,0,deny,manual,550000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-regular-nam,,,,,,,,,L,,Xanh dương (đậm),,,"",0.0,shopify,0,deny,manual,550000,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
quần-jeans-rach-gối-nam,Quần Jeans Rách Gối Nam,"",bathangminh,,,"nam, quần, quần dài, quần jeans",true,Kích cỡ,S,Màu sắc,Đen,,,"",0.0,shopify,0,deny,manual,520000,,true,true,"",https://cdn.shopify.com/s/files/1/0609/7046/7542/products/Qu_nJeansRachG_iNamden1.jpg?v=1637788361,1,,false,,,,,,,,,,,,,,,,,kg,,,active
